"","Interaction type","Metric","Nutrient treatment","Median absolute interaction strength","Mean absolute interaction strength"
"1","Competition","Neighbour effect","Fertilized",1.124,"1.426 ± 0.044"
"2","Competition","Neighbour effect","Unfertilized",1.06,"1.279 ± 0.036"
"3","Competition","Neighbour response","Fertilized",0.995,"1.287 ± 0.039"
"4","Competition","Neighbour response","Unfertilized",0.96,"1.191 ± 0.034"
"5","Facilitation","Neighbour effect","Fertilized",0.452,"0.689 ± 0.039"
"6","Facilitation","Neighbour effect","Unfertilized",0.406,"0.525 ± 0.028"
"7","Facilitation","Neighbour response","Fertilized",0.446,"0.719 ± 0.055"
"8","Facilitation","Neighbour response","Unfertilized",0.407,"0.552 ± 0.038"
